NAME                           ZONE
e2-highmem-8                   us-central1-b
e2-medium                      us-central1-b
e2-micro                       us-central1-b
e2-small                       us-central1-b
e2-standard-16                 us-central1-b
e2-standard-2                  us-central1-b
e2-standard-32                 us-central1-b
e2-standard-4                  us-central1-b
e2-standard-8                  us-central1-b
f1-micro                       us-central1-b
g1-small                       us-central1-b
g2-standard-12                 us-central1-b
g2-standard-16                 us-central1-b
g2-standard-24                 us-central1-b
g2-standard-32                 us-central1-b
g2-standard-4                  us-central1-b
g2-standard-48                 us-central1-b
g2-standard-8                  us-central1-b
g2-standard-96                 us-central1-b
m1-megamem-96                  us-central1-b
m1-ultramem-160                us-central1-b
m1-ultramem-40                 us-central1-b
m1-ultramem-80                 us-central1-b
m2-hypermem-416                us-central1-b
m2-megamem-416                 us-central1-b
m2-ultramem-208                us-central1-b
m2-ultramem-416                us-central1-b
m3-megamem-128                 us-central1-b
m3-megamem-64                  us-central1-b
m3-ultramem-128                us-central1-b
m3-ultramem-32                 us-central1-b
m3-ultramem-64                 us-central1-b
m4-megamem-112                 us-central1-b
m4-megamem-224                 us-central1-b
m4-megamem-28                  us-central1-b
m4-megamem-56                  us-central1-b
m4-ultramem-112                us-central1-b
m4-ultramem-224                us-central1-b
m4-ultramem-56                 us-central1-b
n1-highcpu-16                  us-central1-b
n1-highcpu-2                   us-central1-b
n1-highcpu-32                  us-central1-b
n1-highcpu-4                   us-central1-b
n1-highcpu-64                  us-central1-b
n1-highcpu-8                   us-central1-b
n1-highcpu-96                  us-central1-b
n1-highmem-16                  us-central1-b
n1-highmem-2                   us-central1-b
n1-highmem-32                  us-central1-b
n1-highmem-4                   us-central1-b
n1-highmem-64                  us-central1-b
n1-highmem-8                   us-central1-b
n1-highmem-96                  us-central1-b
n1-megamem-96                  us-central1-b
n1-standard-1                  us-central1-b
n1-standard-16                 us-central1-b
n1-standard-2                  us-central1-b
n1-standard-32                 us-central1-b
n1-standard-4                  us-central1-b
n1-standard-64                 us-central1-b
n1-standard-8                  us-central1-b
n1-standard-96                 us-central1-b
n1-ultramem-160                us-central1-b
n1-ultramem-40                 us-central1-b
n1-ultramem-80                 us-central1-b
n2-highcpu-16                  us-central1-b
n2-highcpu-2                   us-central1-b
n2-highcpu-32                  us-central1-b
n2-highcpu-4                   us-central1-b
n2-highcpu-48                  us-central1-b
n2-highcpu-64                  us-central1-b
n2-highcpu-8                   us-central1-b
n2-highcpu-80                  us-central1-b
n2-highcpu-96                  us-central1-b
n2-highmem-128                 us-central1-b
n2-highmem-16                  us-central1-b
n2-highmem-2                   us-central1-b
n2-highmem-32                  us-central1-b
